participantId,trialId,trialOrder,responseId,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_imagelinks
"05178a09-cb69-4128-8559-a51258854df1","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[""introduction"",""study"",""Describe"",""introduction2"",""Choose"",""introduction3"",""Label placement vibes"",""introduction4"",""Label placement rotation""]","undefined","undefined","undefined","undefined"
"05178a09-cb69-4128-8559-a51258854df1","consent","0","signature","completed","undefined","undefined","undefined","100.00","undefined","Your signature (either your name or initials)","mb","undefined","4855","4855","undefined"
"05178a09-cb69-4128-8559-a51258854df1","consent","0","accept","completed","undefined","undefined","undefined","100.00","undefined","Do you consent to the study and wish to continue?","Accept","undefined","4855","4855","undefined"
"05178a09-cb69-4128-8559-a51258854df1","consent","0","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":3,""keydown"":2,""keyup"":2,""mousemove"":33,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":7,""visibility"":0}","undefined","undefined","undefined","undefined"
"05178a09-cb69-4128-8559-a51258854df1","introduction1","1","","completed","undefined","undefined","undefined","100.00","undefined","undefined","undefined","undefined","1641","1641","undefined"
"05178a09-cb69-4128-8559-a51258854df1","introduction1","1","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":8,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":1,""visibility"":0}","undefined","undefined","undefined","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex16","2","difference","completed","undefined","undefined","undefined","100.00","Look at the image carefully, then answer the questions below.","Describe the difference between the second image compared to the first image.","the second line has a bend ","undefined","83323","83323","ex16/before.png,ex16/after.png"
"05178a09-cb69-4128-8559-a51258854df1","ex16","2","transform_1","completed","undefined","undefined","undefined","100.00","Look at the image carefully, then answer the questions below.","Desribe how you would transform the first image into the second image in three or less steps","bend the line between bussero and cassina downwards","undefined","83323","83323","ex16/before.png,ex16/after.png"
"05178a09-cb69-4128-8559-a51258854df1","ex16","2","transform_2","completed","undefined","undefined","undefined","100.00","Look at the image carefully, then answer the questions below.","","","undefined","83323","83323","ex16/before.png,ex16/after.png"
"05178a09-cb69-4128-8559-a51258854df1","ex16","2","transform_3","completed","undefined","undefined","undefined","100.00","Look at the image carefully, then answer the questions below.","","","undefined","83323","83323","ex16/before.png,ex16/after.png"
"05178a09-cb69-4128-8559-a51258854df1","ex16","2","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":3,""input"":130,""keydown"":138,""keyup"":105,""mousemove"":13,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex8","3","difference","completed","undefined","undefined","undefined","100.00","Look at the image carefully, then answer the questions below.","Describe the difference between the second image compared to the first image.","sdsfad","undefined","4806","4806","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex8","3","transform_1","completed","undefined","undefined","undefined","100.00","Look at the image carefully, then answer the questions below.","Desribe how you would transform the first image into the second image in three or less steps","dsafsdf","undefined","4806","4806","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex8","3","transform_2","completed","undefined","undefined","undefined","100.00","Look at the image carefully, then answer the questions below.","","","undefined","4806","4806","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex8","3","transform_3","completed","undefined","undefined","undefined","100.00","Look at the image carefully, then answer the questions below.","","","undefined","4806","4806","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex8","3","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":4,""input"":5,""keydown"":5,""keyup"":5,""mousemove"":29,""mousedown"":4,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex4","4","difference","completed","undefined","undefined","undefined","100.00","Look at the image carefully, then answer the questions below.","Describe the difference between the second image compared to the first image.","dsfsadf","undefined","2053","2053","undefined"
