participantId,trialId,trialOrder,responseId,status,rejectReason,description,rejectTime,percentComplete,answer,parameters_imagelinks
"05178a09-cb69-4128-8559-a51258854df1","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","[""introduction"",""study"",""Describe"",""introduction2"",""Choose"",""introduction3"",""Label placement vibes"",""introduction4"",""Label placement rotation""]","undefined"
"05178a09-cb69-4128-8559-a51258854df1","consent","0","signature","completed","undefined","undefined","undefined","100.00","mb","undefined"
"05178a09-cb69-4128-8559-a51258854df1","consent","0","accept","completed","undefined","undefined","undefined","100.00","Accept","undefined"
"05178a09-cb69-4128-8559-a51258854df1","consent","0","windowEvents","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":3,""keydown"":2,""keyup"":2,""mousemove"":33,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":7,""visibility"":0}","undefined"
"05178a09-cb69-4128-8559-a51258854df1","introduction1","1","","completed","undefined","undefined","undefined","100.00","undefined","undefined"
"05178a09-cb69-4128-8559-a51258854df1","introduction1","1","windowEvents","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":8,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":1,""visibility"":0}","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex16","2","difference","completed","undefined","undefined","undefined","100.00","the second line has a bend ","ex16/before.png,ex16/after.png"
"05178a09-cb69-4128-8559-a51258854df1","ex16","2","transform_1","completed","undefined","undefined","undefined","100.00","bend the line between bussero and cassina downwards","ex16/before.png,ex16/after.png"
"05178a09-cb69-4128-8559-a51258854df1","ex16","2","transform_2","completed","undefined","undefined","undefined","100.00","","ex16/before.png,ex16/after.png"
"05178a09-cb69-4128-8559-a51258854df1","ex16","2","transform_3","completed","undefined","undefined","undefined","100.00","","ex16/before.png,ex16/after.png"
"05178a09-cb69-4128-8559-a51258854df1","ex16","2","windowEvents","undefined","undefined","undefined","undefined","undefined","{""focus"":3,""input"":130,""keydown"":138,""keyup"":105,""mousemove"":13,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex8","3","difference","completed","undefined","undefined","undefined","100.00","sdsfad","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex8","3","transform_1","completed","undefined","undefined","undefined","100.00","dsafsdf","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex8","3","transform_2","completed","undefined","undefined","undefined","100.00","","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex8","3","transform_3","completed","undefined","undefined","undefined","100.00","","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex8","3","windowEvents","undefined","undefined","undefined","undefined","undefined","{""focus"":4,""input"":5,""keydown"":5,""keyup"":5,""mousemove"":29,""mousedown"":4,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex4","4","difference","completed","undefined","undefined","undefined","100.00","dsfsadf","undefined"
"05178a09-cb69-4128-8559-a51258854df1","ex4","4","transform_1","completed","undefined","undefined","undefined","100.00","dsfsafd","undefined"
